2025-09-09 17:41:08 remove libfcgi-bin:amd64 2.4.2-2.1ubuntu0.24.04.1 <none>
2025-09-09 17:41:08 status half-configured libfcgi-bin:amd64 2.4.2-2.1ubuntu0.24.04.1
2025-09-09 17:41:08 status half-installed libfcgi-bin:amd64 2.4.2-2.1ubuntu0.24.04.1
2025-09-09 17:41:08 status config-files libfcgi-bin:amd64 2.4.2-2.1ubuntu0.24.04.1
2025-09-09 17:41:08 status not-installed libfcgi-bin:amd64 <none>
2025-09-09 17:41:08 status installed libfcgi-perl:amd64 0.82+ds-3build2
2025-09-09 17:41:08 remove libfcgi-perl:amd64 0.82+ds-3build2 <none>
2025-09-09 17:41:08 status half-configured libfcgi-perl:amd64 0.82+ds-3build2
2025-09-09 17:41:08 status half-installed libfcgi-perl:amd64 0.82+ds-3build2
2025-09-09 17:41:08 status config-files libfcgi-perl:amd64 0.82+ds-3build2
2025-09-09 17:41:08 status not-installed libfcgi-perl:amd64 <none>
2025-09-09 17:41:08 status installed libfcgi0t64:amd64 2.4.2-2.1ubuntu0.24.04.1
2025-09-09 17:41:08 remove libfcgi0t64:amd64 2.4.2-2.1ubuntu0.24.04.1 <none>
2025-09-09 17:41:08 status half-configured libfcgi0t64:amd64 2.4.2-2.1ubuntu0.24.04.1
2025-09-09 17:41:08 status half-installed libfcgi0t64:amd64 2.4.2-2.1ubuntu0.24.04.1
2025-09-09 17:41:08 status config-files libfcgi0t64:amd64 2.4.2-2.1ubuntu0.24.04.1
2025-09-09 17:41:08 status not-installed libfcgi0t64:amd64 <none>
2025-09-09 17:41:08 status installed libgl1-amber-dri:amd64 21.3.9-0ubuntu2
2025-09-09 17:41:08 remove libgl1-amber-dri:amd64 21.3.9-0ubuntu2 <none>
2025-09-09 17:41:08 status half-configured libgl1-amber-dri:amd64 21.3.9-0ubuntu2
2025-09-09 17:41:08 status half-installed libgl1-amber-dri:amd64 21.3.9-0ubuntu2
2025-09-09 17:41:08 status config-files libgl1-amber-dri:amd64 21.3.9-0ubuntu2
2025-09-09 17:41:08 status not-installed libgl1-amber-dri:amd64 <none>
2025-09-09 17:41:08 status installed libglapi-mesa:amd64 24.2.8-1ubuntu1~24.04.1
2025-09-09 17:41:08 remove libglapi-mesa:amd64 24.2.8-1ubuntu1~24.04.1 <none>
2025-09-09 17:41:08 status half-configured libglapi-mesa:amd64 24.2.8-1ubuntu1~24.04.1
2025-09-09 17:41:08 status half-installed libglapi-mesa:amd64 24.2.8-1ubuntu1~24.04.1
2025-09-09 17:41:08 status config-files libglapi-mesa:amd64 24.2.8-1ubuntu1~24.04.1
2025-09-09 17:41:08 status not-installed libglapi-mesa:amd64 <none>
2025-09-09 17:41:08 status installed libgpod-common:amd64 0.8.3-16build2
2025-09-09 17:41:08 remove libgpod-common:amd64 0.8.3-16build2 <none>
2025-09-09 17:41:08 status half-configured libgpod-common:amd64 0.8.3-16build2
2025-09-09 17:41:08 status half-installed libgpod-common:amd64 0.8.3-16build2
2025-09-09 17:41:08 status config-files libgpod-common:amd64 0.8.3-16build2
2025-09-09 17:41:08 status not-installed libgpod-common:amd64 <none>
2025-09-09 17:41:08 status installed libgpod4t64:amd64 0.8.3-19.1ubuntu4
2025-09-09 17:41:08 remove libgpod4t64:amd64 0.8.3-19.1ubuntu4 <none>
2025-09-09 17:41:08 status half-configured libgpod4t64:amd64 0.8.3-19.1ubuntu4
2025-09-09 17:41:08 status half-installed libgpod4t64:amd64 0.8.3-19.1ubuntu4
2025-09-09 17:41:08 status config-files libgpod4t64:amd64 0.8.3-19.1ubuntu4
